appkey,appid,itemcode,itemdesc,addtime
RPT3,5166,*NO,*NO SEARCH,3/29/2018 14:26
RPT6,5166,CIT,CITATION,3/29/2018 14:26
RPT1,5165,VEH,VEHICLE,3/29/2018 14:27
RPT2,5165,SPEE,TRAFFIC-SPEEDING,3/29/2018 14:27
RPT3,5165,*NO,*NO SEARCH,3/29/2018 14:27
RPT6,5165,CIT,CITATION,3/29/2018 14:27
RPT1,5167,VEH,VEHICLE,3/29/2018 14:29
RPT2,5167,SPEE,TRAFFIC-SPEEDING,3/29/2018 14:29
RPT3,5167,*NO,*NO SEARCH,3/29/2018 14:29
RPT6,5167,WAR,WARNING,3/29/2018 14:29
RPT1,5168,VEH,VEHICLE,3/29/2018 15:50
RPT2,5168,EQUI,EQUIPMENT VIOLATION,3/29/2018 15:50
RPT3,5168,*NO,*NO SEARCH,3/29/2018 15:50
RPT6,5168,CIT,CITATION,3/29/2018 15:50
RPT7,5168,TRAF,TRAFFIC,3/29/2018 15:50
RPT1,5169,VEH,VEHICLE,3/29/2018 15:51
RPT2,5169,EQUI,EQUIPMENT VIOLATION,3/29/2018 15:51
RPT3,5169,*NO,*NO SEARCH,3/29/2018 15:51
RPT6,5169,CIT,CITATION,3/29/2018 15:51
RPT7,5169,TRAF,TRAFFIC,3/29/2018 15:51
RPT1,5170,VEH,VEHICLE,3/29/2018 15:52
RPT2,5170,EQUI,EQUIPMENT VIOLATION,3/29/2018 15:52
RPT3,5170,*NO,*NO SEARCH,3/29/2018 15:52
RPT6,5170,CIT,CITATION,3/29/2018 15:52
RPT7,5170,TRAF,TRAFFIC,3/29/2018 15:53
RPT1,5171,VEH,VEHICLE,3/29/2018 16:03
RPT2,5171,SPEE,TRAFFIC-SPEEDING,3/29/2018 16:03
RPT3,5171,*NO,*NO SEARCH,3/29/2018 16:03
RPT6,5171,CIT,CITATION,3/29/2018 16:03
RPT7,5171,TRAF,TRAFFIC,3/29/2018 16:04
RPT1,5172,VEH,VEHICLE,3/29/2018 16:05
RPT2,5172,ROW,TRAFFIC-RIGHT OF WAY VIOLATION,3/29/2018 16:05
RPT3,5172,*NO,*NO SEARCH,3/29/2018 16:05
RPT6,5172,CIT,CITATION,3/29/2018 16:05
RPT1,5173,VEH,VEHICLE,3/29/2018 10:44
RPT2,5173,SPEE,TRAFFIC-SPEEDING,3/29/2018 10:44
RPT3,5173,*NO,*NO SEARCH,3/29/2018 10:44
RPT6,5173,CIT,CITATION,3/29/2018 10:44
RPT7,5173,TRAF,TRAFFIC,3/29/2018 10:44
RPT1,5174,VEH,VEHICLE,3/29/2018 11:10
RPT2,5174,SPEE,TRAFFIC-SPEEDING,3/29/2018 11:10
RPT3,5174,*NO,*NO SEARCH,3/29/2018 11:10
RPT6,5174,CIT,CITATION,3/29/2018 11:10
RPT7,5174,TRAF,TRAFFIC,3/29/2018 11:10
RPT1,5175,VEH,VEHICLE,3/29/2018 20:59
RPT2,5175,RECK,TRAFFIC-RECKLESS/CARELESS,3/29/2018 20:59
RPT3,5175,DRIV,DRIVER,3/29/2018 20:59
RPT4,5175,INCI,INCIDENT TO ARREST,3/29/2018 20:59
RPT5,5175,NOT,NOTHING SEIZED,3/29/2018 20:59
RPT6,5175,ARR,ARREST,3/29/2018 20:59
RPT7,5175,MISD,MISDEMEANOR,3/29/2018 21:00
RPT1,5176,VEH,VEHICLE,3/29/2018 23:39
RPT2,5176,RECK,TRAFFIC-RECKLESS/CARELESS,3/29/2018 23:39
RPT3,5176,*NO,*NO SEARCH,3/29/2018 23:39
RPT5,5176,NOT,NOTHING SEIZED,3/29/2018 23:39
RPT6,5176,WAR,WARNING,3/29/2018 23:40
RPT7,5176,NO,NOT CHARGED,3/29/2018 23:40
RPT1,5177,PED,PEDESTRIAN,3/30/2018 0:19
RPT2,5177,MUNI,MUNICIPAL VIOLATION,3/30/2018 0:19
RPT3,5177,PER,PERSON,3/30/2018 0:19
RPT4,5177,INCI,INCIDENT TO ARREST,3/30/2018 0:19
RPT5,5177,NOT,NOTHING SEIZED,3/30/2018 0:20
RPT6,5177,ARR,ARREST,3/30/2018 0:20
RPT7,5177,MISD,MISDEMEANOR,3/30/2018 0:20
RPT1,5178,VEH,VEHICLE,3/30/2018 0:25
RPT2,5178,RECK,TRAFFIC-RECKLESS/CARELESS,3/30/2018 0:25
RPT3,5178,*NO,*NO SEARCH,3/30/2018 0:26
RPT5,5178,NOT,NOTHING SEIZED,3/30/2018 0:26
RPT6,5178,WAR,WARNING,3/30/2018 0:26
RPT7,5178,NO,NOT CHARGED,3/30/2018 0:26
RPT1,5179,PED,PEDESTRIAN,3/30/2018 0:31
RPT2,5179,MUNI,MUNICIPAL VIOLATION,3/30/2018 0:31
RPT3,5179,*NO,*NO SEARCH,3/30/2018 0:31
RPT6,5179,WAR,WARNING,3/30/2018 0:31
RPT7,5179,NO,NOT CHARGED,3/30/2018 0:31
RPT1,5180,VEH,VEHICLE,3/30/2018 0:47
RPT2,5180,MUNI,MUNICIPAL VIOLATION,3/30/2018 0:47
RPT3,5180,*NO,*NO SEARCH,3/30/2018 0:47
RPT5,5180,NOT,NOTHING SEIZED,3/30/2018 0:47
RPT6,5180,CIT,CITATION,3/30/2018 0:47
RPT7,5180,MUNI,MUNICIPAL,3/30/2018 0:48
RPT1,5181,VEH,VEHICLE,3/30/2018 0:19
RPT2,5181,EQUI,EQUIPMENT VIOLATION,3/30/2018 0:19
RPT3,5181,*NO,*NO SEARCH,3/30/2018 0:19
RPT6,5181,WAR,WARNING,3/30/2018 0:19
RPT1,5182,VEH,VEHICLE,3/30/2018 1:08
RPT2,5182,SUSP,SUSPICIOUS,3/30/2018 1:08
RPT3,5182,*NO,*NO SEARCH,3/30/2018 1:08
RPT6,5182,WAR,WARNING,3/30/2018 1:08
RPT1,5183,VEH,VEHICLE,3/30/2018 2:21
RPT2,5183,RECK,TRAFFIC-RECKLESS/CARELESS,3/30/2018 2:21
RPT3,5183,*NO,*NO SEARCH,3/30/2018 2:21
RPT5,5183,NOT,NOTHING SEIZED,3/30/2018 2:22
RPT6,5183,WAR,WARNING,3/30/2018 2:22
RPT7,5183,NO,NOT CHARGED,3/30/2018 2:22
RPT1,5184,VEH,VEHICLE,3/30/2018 2:35
RPT2,5184,SUSP,SUSPICIOUS,3/30/2018 2:35
RPT3,5184,*NO,*NO SEARCH,3/30/2018 2:35
RPT6,5184,WAR,WARNING,3/30/2018 2:35
RPT1,5185,PED,PEDESTRIAN,3/30/2018 6:04
RPT2,5185,MUNI,MUNICIPAL VIOLATION,3/30/2018 6:04
RPT3,5185,*NO,*NO SEARCH,3/30/2018 6:04
RPT5,5185,NOT,NOTHING SEIZED,3/30/2018 6:04
RPT6,5185,WAR,WARNING,3/30/2018 6:04
RPT1,5186,PED,PEDESTRIAN,3/30/2018 6:05
RPT2,5186,MUNI,MUNICIPAL VIOLATION,3/30/2018 6:05
RPT3,5186,*NO,*NO SEARCH,3/30/2018 6:05
RPT5,5186,NOT,NOTHING SEIZED,3/30/2018 6:05
RPT6,5186,WAR,WARNING,3/30/2018 6:05
RPT1,5187,PED,PEDESTRIAN,3/30/2018 6:06
RPT2,5187,MUNI,MUNICIPAL VIOLATION,3/30/2018 6:06
RPT3,5187,PER,PERSON,3/30/2018 6:06
RPT5,5187,NOT,NOTHING SEIZED,3/30/2018 6:06
RPT6,5187,ARR,ARREST,3/30/2018 6:06
RPT4,5187,INCI,INCIDENT TO ARREST,3/30/2018 6:06
RPT7,5187,WARR,WARRANT,3/30/2018 6:06
RPT1,5188,VEH,VEHICLE,3/30/2018 12:50
RPT2,5188,SPEE,TRAFFIC-SPEEDING,3/30/2018 12:50
RPT3,5188,*NO,*NO SEARCH,3/30/2018 12:51
RPT6,5188,CIT,CITATION,3/30/2018 12:51
RPT1,5189,VEH,VEHICLE,3/30/2018 12:54
RPT2,5189,SPEE,TRAFFIC-SPEEDING,3/30/2018 12:54
RPT3,5189,*NO,*NO SEARCH,3/30/2018 12:54
RPT6,5189,CIT,CITATION,3/30/2018 12:54
RPT1,5190,VEH,VEHICLE,3/30/2018 19:09
RPT2,5190,ROW,TRAFFIC-RIGHT OF WAY VIOLATION,3/30/2018 19:10
RPT3,5190,*NO,*NO SEARCH,3/30/2018 19:10
RPT6,5190,WAR,WARNING,3/30/2018 19:10
RPT1,5191,VEH,VEHICLE,3/30/2018 20:17
RPT2,5191,EQUI,EQUIPMENT VIOLATION,3/30/2018 20:17
RPT3,5191,*NO,*NO SEARCH,3/30/2018 20:17
RPT6,5191,WAR,WARNING,3/30/2018 20:17
RPT1,5192,VEH,VEHICLE,3/30/2018 21:30
RPT2,5192,EQUI,EQUIPMENT VIOLATION,3/30/2018 21:30
RPT3,5192,*NO,*NO SEARCH,3/30/2018 21:30
RPT6,5192,WAR,WARNING,3/30/2018 21:30
RPT1,5193,VEH,VEHICLE,3/30/2018 22:42
RPT4,5193,PLAI,PLAIN VIEW,3/30/2018 22:42
RPT2,5193,MUNI,MUNICIPAL VIOLATION,3/30/2018 22:42
RPT5,5193,NOT,NOTHING SEIZED,3/30/2018 22:42
RPT3,5193,*NO,*NO SEARCH,3/30/2018 22:42
RPT6,5193,WAR,WARNING,3/30/2018 22:42
RPT1,5194,PED,PEDESTRIAN,3/31/2018 0:31
RPT2,5194,MUNI,MUNICIPAL VIOLATION,3/31/2018 0:31
RPT6,5194,WAR,WARNING,3/31/2018 0:31
RPT1,5195,PED,PEDESTRIAN,3/31/2018 0:32
RPT2,5195,MUNI,MUNICIPAL VIOLATION,3/31/2018 0:33
RPT6,5195,ARR,ARREST,3/31/2018 0:33
RPT7,5195,MUNI,MUNICIPAL,3/31/2018 0:33
RPT1,5196,VEH,VEHICLE,3/31/2018 2:20
RPT2,5196,SUSP,SUSPICIOUS,3/31/2018 2:20
RPT3,5196,VEH,VEHICLE,3/31/2018 2:20
RPT4,5196,CON,CONSENT,3/31/2018 2:20
RPT5,5196,NOT,NOTHING SEIZED,3/31/2018 2:20
RPT6,5196,WAR,WARNING,3/31/2018 2:20
RPT7,5196,NO,NOT CHARGED,3/31/2018 2:21
RPT1,5197,VEH,VEHICLE,3/31/2018 2:22
RPT2,5197,SUSP,SUSPICIOUS,3/31/2018 2:22
RPT3,5197,*NO,*NO SEARCH,3/31/2018 2:22
RPT5,5197,NOT,NOTHING SEIZED,3/31/2018 2:22
RPT6,5197,WAR,WARNING,3/31/2018 2:22
RPT7,5197,NO,NOT CHARGED,3/31/2018 2:22
RPT1,5198,PED,PEDESTRIAN,3/31/2018 2:23
RPT2,5198,MUNI,MUNICIPAL VIOLATION,3/31/2018 2:23
RPT3,5198,*NO,*NO SEARCH,3/31/2018 2:23
RPT5,5198,NOT,NOTHING SEIZED,3/31/2018 2:23
RPT6,5198,WAR,WARNING,3/31/2018 2:23
RPT7,5198,NO,NOT CHARGED,3/31/2018 2:24
RPT1,5199,PED,PEDESTRIAN,3/31/2018 2:25
RPT2,5199,MUNI,MUNICIPAL VIOLATION,3/31/2018 2:25
RPT3,5199,*NO,*NO SEARCH,3/31/2018 2:25
RPT5,5199,NOT,NOTHING SEIZED,3/31/2018 2:25
RPT6,5199,WAR,WARNING,3/31/2018 2:26
RPT7,5199,NO,NOT CHARGED,3/31/2018 2:26
RPT1,5200,PED,PEDESTRIAN,3/31/2018 2:26
RPT2,5200,MUNI,MUNICIPAL VIOLATION,3/31/2018 2:26
RPT3,5200,PER,PERSON,3/31/2018 2:26
RPT4,5200,INCI,INCIDENT TO ARREST,3/31/2018 2:27
RPT5,5200,NOT,NOTHING SEIZED,3/31/2018 2:27
RPT6,5200,ARR,ARREST,3/31/2018 2:27
RPT7,5200,WARR,WARRANT,3/31/2018 2:27
RPT1,5201,PED,PEDESTRIAN,3/31/2018 2:28
RPT2,5201,MUNI,MUNICIPAL VIOLATION,3/31/2018 2:28
RPT3,5201,*NO,*NO SEARCH,3/31/2018 2:28
RPT5,5201,NOT,NOTHING SEIZED,3/31/2018 2:28
RPT6,5201,WAR,WARNING,3/31/2018 2:28
RPT7,5201,NO,NOT CHARGED,3/31/2018 2:28
RPT1,5202,PED,PEDESTRIAN,3/31/2018 2:29
RPT2,5202,MUNI,MUNICIPAL VIOLATION,3/31/2018 2:29
RPT3,5202,*NO,*NO SEARCH,3/31/2018 2:29
RPT6,5202,WAR,WARNING,3/31/2018 2:29
RPT1,5203,VEH,VEHICLE,3/31/2018 2:30
RPT2,5203,RECK,TRAFFIC-RECKLESS/CARELESS,3/31/2018 2:30
RPT3,5203,*NO,*NO SEARCH,3/31/2018 2:31
RPT6,5203,WAR,WARNING,3/31/2018 2:31
RPT1,5204,VEH,VEHICLE,3/31/2018 2:32
RPT2,5204,RECK,TRAFFIC-RECKLESS/CARELESS,3/31/2018 2:32
RPT3,5204,*NO,*NO SEARCH,3/31/2018 2:32
RPT6,5204,WAR,WARNING,3/31/2018 2:32
RPT1,5205,VEH,VEHICLE,3/31/2018 2:33
RPT2,5205,EQUI,EQUIPMENT VIOLATION,3/31/2018 2:34
RPT3,5205,*NO,*NO SEARCH,3/31/2018 2:34
RPT6,5205,WAR,WARNING,3/31/2018 2:34
RPT1,5206,VEH,VEHICLE,3/31/2018 5:49
RPT2,5206,MUNI,MUNICIPAL VIOLATION,3/31/2018 5:49
RPT3,5206,*NO,*NO SEARCH,3/31/2018 5:49
RPT5,5206,NOT,NOTHING SEIZED,3/31/2018 5:49
RPT6,5206,WAR,WARNING,3/31/2018 5:49
RPT7,5206,NO,NOT CHARGED,3/31/2018 5:49
RPT1,5211,PED,PEDESTRIAN,3/31/2018 5:41
RPT2,5211,MUNI,MUNICIPAL VIOLATION,3/31/2018 5:41
RPT3,5211,*NO,*NO SEARCH,3/31/2018 5:41
RPT6,5211,WAR,WARNING,3/31/2018 5:42
RPT1,5212,PED,PEDESTRIAN,3/31/2018 5:42
RPT2,5212,MUNI,MUNICIPAL VIOLATION,3/31/2018 5:42
RPT3,5212,*NO,*NO SEARCH,3/31/2018 5:42
RPT6,5212,CIT,CITATION,3/31/2018 5:42
RPT1,5207,VEH,VEHICLE,3/31/2018 5:46
RPT2,5207,EQUI,EQUIPMENT VIOLATION,3/31/2018 5:47
RPT3,5207,*NO,*NO SEARCH,3/31/2018 5:47
RPT6,5207,WAR,WARNING,3/31/2018 5:47
RPT1,5208,VEH,VEHICLE,3/31/2018 5:48
RPT2,5208,EQUI,EQUIPMENT VIOLATION,3/31/2018 5:48
RPT3,5208,*NO,*NO SEARCH,3/31/2018 5:48
RPT6,5208,WAR,WARNING,3/31/2018 5:48
RPT1,5209,VEH,VEHICLE,3/31/2018 5:50
RPT2,5209,EQUI,EQUIPMENT VIOLATION,3/31/2018 5:50
RPT3,5209,*NO,*NO SEARCH,3/31/2018 5:50
RPT6,5209,WAR,WARNING,3/31/2018 5:50
RPT1,5210,VEH,VEHICLE,3/31/2018 5:50
RPT2,5210,MUNI,MUNICIPAL VIOLATION,3/31/2018 5:50
RPT3,5210,*NO,*NO SEARCH,3/31/2018 5:50
RPT5,5210,NOT,NOTHING SEIZED,3/31/2018 5:50
RPT6,5210,WAR,WARNING,3/31/2018 5:50
RPT7,5210,NO,NOT CHARGED,3/31/2018 5:50
RPT1,5213,PED,PEDESTRIAN,3/31/2018 6:10
RPT2,5213,SUSP,SUSPICIOUS,3/31/2018 6:10
RPT3,5213,*NO,*NO SEARCH,3/31/2018 6:10
RPT6,5213,FC,FIELD CONTACT,3/31/2018 6:10
RPT1,5214,PED,PEDESTRIAN,3/31/2018 14:39
RPT2,5214,MUNI,MUNICIPAL VIOLATION,3/31/2018 14:39
RPT3,5214,*NO,*NO SEARCH,3/31/2018 14:39
RPT6,5214,CIT,CITATION,3/31/2018 14:39
RPT7,5214,MUNI,MUNICIPAL,3/31/2018 14:39
RPT1,5215,PED,PEDESTRIAN,3/31/2018 14:40
RPT2,5215,MUNI,MUNICIPAL VIOLATION,3/31/2018 14:40
RPT3,5215,*NO,*NO SEARCH,3/31/2018 14:40
RPT6,5215,WAR,WARNING,3/31/2018 14:40
RPT7,5215,NO,NOT CHARGED,3/31/2018 14:40
RPT1,5216,PED,PEDESTRIAN,3/31/2018 14:41
RPT2,5216,MUNI,MUNICIPAL VIOLATION,3/31/2018 14:41
RPT3,5216,*NO,*NO SEARCH,3/31/2018 14:41
RPT6,5216,WAR,WARNING,3/31/2018 14:41
RPT7,5216,NO,NOT CHARGED,3/31/2018 14:41
RPT1,5217,PED,PEDESTRIAN,3/31/2018 14:42
RPT2,5217,MUNI,MUNICIPAL VIOLATION,3/31/2018 14:42
RPT3,5217,*NO,*NO SEARCH,3/31/2018 14:42
RPT6,5217,WAR,WARNING,3/31/2018 14:42
RPT7,5217,NO,NOT CHARGED,3/31/2018 14:42
RPT1,5218,VEH,VEHICLE,3/17/2018 22:42
RPT2,5218,EQUI,EQUIPMENT VIOLATION,3/17/2018 22:42
RPT6,5218,CIT,CITATION,3/17/2018 22:42
RPT7,5218,TRAF,TRAFFIC,3/17/2018 22:42
RPT1,5219,VEH,VEHICLE,3/26/2018 21:18
RPT2,5219,EQUI,EQUIPMENT VIOLATION,3/26/2018 21:18
RPT6,5219,WAR,WARNING,3/26/2018 21:18
RPT1,5220,VEH,VEHICLE,3/31/2018 20:21
RPT2,5220,EQUI,EQUIPMENT VIOLATION,3/31/2018 20:21
RPT3,5220,*NO,*NO SEARCH,3/31/2018 20:21
RPT6,5220,WAR,WARNING,3/31/2018 20:21
RPT1,5221,VEH,VEHICLE,3/31/2018 20:22
RPT2,5221,RECK,TRAFFIC-RECKLESS/CARELESS,3/31/2018 20:22
RPT3,5221,*NO,*NO SEARCH,3/31/2018 20:22
RPT5,5221,NOT,NOTHING SEIZED,3/31/2018 20:22
RPT6,5221,WAR,WARNING,3/31/2018 20:22
RPT7,5221,NO,NOT CHARGED,3/31/2018 20:22
RPT1,5222,VEH,VEHICLE,3/31/2018 22:44
RPT4,5222,PLAI,PLAIN VIEW,3/31/2018 22:44
RPT2,5222,MUNI,MUNICIPAL VIOLATION,3/31/2018 22:44
RPT5,5222,NOT,NOTHING SEIZED,3/31/2018 22:44
RPT3,5222,*NO,*NO SEARCH,3/31/2018 22:44
RPT6,5222,CIT,CITATION,3/31/2018 22:44
RPT7,5222,MUNI,MUNICIPAL,3/31/2018 22:44
RPT1,5223,VEH,VEHICLE,4/1/2018 1:27
RPT2,5223,RECK,TRAFFIC-RECKLESS/CARELESS,4/1/2018 1:27
RPT3,5223,DRIV,DRIVER,4/1/2018 1:28
RPT4,5223,IMP,IMPOUND,4/1/2018 1:27
RPT5,5223,DRU,DRUGS,4/1/2018 1:28
RPT3,5223,VEH,VEHICLE,4/1/2018 1:28
RPT6,5223,ARR,ARREST,4/1/2018 1:28
RPT7,5223,MISD,MISDEMEANOR,4/1/2018 1:28
RPT1,5224,VEH,VEHICLE,4/1/2018 2:12
RPT2,5224,SUSP,SUSPICIOUS,4/1/2018 2:12
RPT3,5224,DRIV,DRIVER,4/1/2018 2:12
RPT4,5224,CON,CONSENT,4/1/2018 2:12
RPT5,5224,NOT,NOTHING SEIZED,4/1/2018 2:12
RPT6,5224,WAR,WARNING,4/1/2018 2:13
RPT7,5224,NO,NOT CHARGED,4/1/2018 2:13
RPT1,5225,VEH,VEHICLE,4/1/2018 2:14
RPT2,5225,SUSP,SUSPICIOUS,4/1/2018 2:14
RPT3,5225,PASS,PASSENGER,4/1/2018 2:14
RPT4,5225,CON,CONSENT,4/1/2018 2:14
RPT5,5225,NOT,NOTHING SEIZED,4/1/2018 2:14
RPT6,5225,WAR,WARNING,4/1/2018 2:14
RPT7,5225,NO,NOT CHARGED,4/1/2018 2:15
RPT1,5226,VEH,VEHICLE,3/31/2018 20:55
RPT2,5226,REDD,TRAFFIC-REDDI OBSERVED PC,3/31/2018 20:55
RPT3,5226,VEH,VEHICLE,3/31/2018 20:55
RPT4,5226,CON,CONSENT,3/31/2018 20:55
RPT5,5226,NOT,NOTHING SEIZED,3/31/2018 20:56
RPT6,5226,CIT,CITATION,3/31/2018 20:56
RPT7,5226,TRAF,TRAFFIC,3/31/2018 20:56
RPT1,5227,VEH,VEHICLE,3/31/2018 21:54
RPT2,5227,REDD,TRAFFIC-REDDI OBSERVED PC,3/31/2018 21:54
RPT3,5227,*NO,*NO SEARCH,3/31/2018 21:54
RPT6,5227,WAR,WARNING,3/31/2018 21:54
RPT7,5227,NO,NOT CHARGED,3/31/2018 21:54
RPT1,5228,VEH,VEHICLE,4/1/2018 4:21
RPT2,5228,RECK,TRAFFIC-RECKLESS/CARELESS,4/1/2018 4:21
RPT3,5228,*NO,*NO SEARCH,4/1/2018 4:21
RPT5,5228,NOT,NOTHING SEIZED,4/1/2018 4:21
RPT6,5228,WAR,WARNING,4/1/2018 4:21
RPT7,5228,NO,NOT CHARGED,4/1/2018 4:21
RPT1,5229,PED,PEDESTRIAN,4/1/2018 4:28
RPT2,5229,DIST,DISTURBANCE,4/1/2018 4:28
RPT3,5229,*NO,*NO SEARCH,4/1/2018 4:28
RPT5,5229,NOT,NOTHING SEIZED,4/1/2018 4:28
RPT6,5229,NO,NO ACTION,4/1/2018 4:28
RPT1,5230,PED,PEDESTRIAN,4/1/2018 4:29
RPT2,5230,DIST,DISTURBANCE,4/1/2018 4:29
RPT3,5230,*NO,*NO SEARCH,4/1/2018 4:29
RPT5,5230,NOT,NOTHING SEIZED,4/1/2018 4:29
RPT6,5230,WAR,WARNING,4/1/2018 4:29
RPT1,5231,PED,PEDESTRIAN,4/1/2018 4:30
RPT2,5231,DIST,DISTURBANCE,4/1/2018 4:30
RPT3,5231,*NO,*NO SEARCH,4/1/2018 4:30
RPT5,5231,NOT,NOTHING SEIZED,4/1/2018 4:30
RPT6,5231,WAR,WARNING,4/1/2018 4:30
RPT1,5232,VEH,VEHICLE,4/1/2018 4:53
RPT2,5232,EQUI,EQUIPMENT VIOLATION,4/1/2018 4:53
RPT3,5232,VEH,VEHICLE,4/1/2018 4:53
RPT4,5232,CON,CONSENT,4/1/2018 4:53
RPT6,5232,CIT,CITATION,4/1/2018 4:54
RPT1,5233,VEH,VEHICLE,4/1/2018 4:56
RPT2,5233,RECK,TRAFFIC-RECKLESS/CARELESS,4/1/2018 4:56
RPT3,5233,*NO,*NO SEARCH,4/1/2018 4:56
RPT1,5234,VEH,VEHICLE,4/1/2018 4:58
RPT2,5234,EQUI,EQUIPMENT VIOLATION,4/1/2018 4:58
RPT3,5234,*NO,*NO SEARCH,4/1/2018 4:58
RPT6,5234,CIT,CITATION,4/1/2018 4:59
RPT7,5234,TRAF,TRAFFIC,4/1/2018 4:59
RPT1,5235,VEH,VEHICLE,4/1/2018 5:02
RPT2,5235,EQUI,EQUIPMENT VIOLATION,4/1/2018 5:02
RPT3,5235,*NO,*NO SEARCH,4/1/2018 5:02
RPT6,5235,WAR,WARNING,4/1/2018 5:03
RPT1,5236,PED,PEDESTRIAN,4/1/2018 8:37
RPT2,5236,MUNI,MUNICIPAL VIOLATION,4/1/2018 8:37
RPT3,5236,*NO,*NO SEARCH,4/1/2018 8:37
RPT6,5236,WAR,WARNING,4/1/2018 8:37
RPT1,5237,VEH,VEHICLE,4/1/2018 9:41
RPT2,5237,SPEE,TRAFFIC-SPEEDING,4/1/2018 9:41
RPT3,5237,*NO,*NO SEARCH,4/1/2018 9:41
RPT6,5237,CIT,CITATION,4/1/2018 9:41
RPT7,5237,TRAF,TRAFFIC,4/1/2018 9:42
RPT1,5238,VEH,VEHICLE,4/1/2018 9:43
RPT2,5238,SPEE,TRAFFIC-SPEEDING,4/1/2018 9:44
RPT3,5238,*NO,*NO SEARCH,4/1/2018 9:44
RPT6,5238,CIT,CITATION,4/1/2018 9:44
RPT7,5238,TRAF,TRAFFIC,4/1/2018 9:44
RPT1,5239,PED,PEDESTRIAN,4/1/2018 10:46
RPT2,5239,DIST,DISTURBANCE,4/1/2018 10:46
RPT3,5239,*NO,*NO SEARCH,4/1/2018 10:46
RPT6,5239,FC,FIELD CONTACT,4/1/2018 10:46
RPT7,5239,NO,NOT CHARGED,4/1/2018 10:46
RPT1,5240,PED,PEDESTRIAN,4/1/2018 10:47
RPT2,5240,DIST,DISTURBANCE,4/1/2018 10:47
RPT3,5240,*NO,*NO SEARCH,4/1/2018 10:47
RPT6,5240,FC,FIELD CONTACT,4/1/2018 10:47
RPT7,5240,NO,NOT CHARGED,4/1/2018 10:47
RPT1,5241,VEH,VEHICLE,4/1/2018 16:43
RPT2,5241,EQUI,EQUIPMENT VIOLATION,4/1/2018 16:43
RPT3,5241,*NO,*NO SEARCH,4/1/2018 16:43
RPT6,5241,WAR,WARNING,4/1/2018 16:43
RPT1,5242,PED,PEDESTRIAN,3/24/2018 19:30
RPT2,5242,MUNI,MUNICIPAL VIOLATION,3/24/2018 19:30
RPT3,5242,*NO,*NO SEARCH,3/24/2018 19:30
RPT6,5242,WAR,WARNING,3/24/2018 19:30
RPT1,5243,PED,PEDESTRIAN,3/24/2018 19:31
RPT2,5243,MUNI,MUNICIPAL VIOLATION,3/24/2018 19:31
RPT3,5243,*NO,*NO SEARCH,3/24/2018 19:31
RPT6,5243,WAR,WARNING,3/24/2018 19:31
RPT1,5244,VEH,VEHICLE,3/24/2018 19:35
RPT2,5244,STAT,STATE VIOLATION,3/24/2018 19:37
RPT3,5244,*NO,*NO SEARCH,3/24/2018 19:38
RPT6,5244,WAR,WARNING,3/24/2018 19:38
RPT1,5245,PED,PEDESTRIAN,3/24/2018 19:39
RPT2,5245,MUNI,MUNICIPAL VIOLATION,3/24/2018 19:40
RPT3,5245,PER,PERSON,3/24/2018 19:40
RPT4,5245,INCI,INCIDENT TO ARREST,3/24/2018 19:40
RPT5,5245,NOT,NOTHING SEIZED,3/24/2018 19:40
RPT6,5245,ARR,ARREST,3/24/2018 19:40
RPT7,5245,WARR,WARRANT,3/24/2018 19:40
RPT1,5246,VEH,VEHICLE,3/25/2018 0:36
RPT2,5246,MUNI,MUNICIPAL VIOLATION,3/25/2018 0:36
RPT3,5246,*NO,*NO SEARCH,3/25/2018 0:36
RPT6,5246,WAR,WARNING,3/25/2018 0:36
RPT1,5247,PED,PEDESTRIAN,4/1/2018 17:29
RPT2,5247,MUNI,MUNICIPAL VIOLATION,4/1/2018 17:29
RPT3,5247,*NO,*NO SEARCH,4/1/2018 17:29
RPT6,5247,CIT,CITATION,4/1/2018 17:29
RPT7,5247,MUNI,MUNICIPAL,4/1/2018 17:29
RPT1,5248,VEH,VEHICLE,4/1/2018 18:14
RPT2,5248,STAT,STATE VIOLATION,4/1/2018 18:14
RPT6,5248,CIT,CITATION,4/1/2018 18:14
RPT7,5248,TRAF,TRAFFIC,4/1/2018 18:14
RPT1,5249,PED,PEDESTRIAN,4/1/2018 8:50
RPT2,5249,MUNI,MUNICIPAL VIOLATION,4/1/2018 8:51
RPT3,5249,*NO,*NO SEARCH,4/1/2018 8:51
RPT6,5249,WAR,WARNING,4/1/2018 8:51
RPT1,5250,PED,PEDESTRIAN,4/1/2018 23:10
RPT2,5250,MUNI,MUNICIPAL VIOLATION,4/1/2018 23:10
RPT6,5250,WAR,WARNING,4/1/2018 23:10
RPT1,5251,VEH,VEHICLE,4/1/2018 23:11
RPT4,5251,PLAI,PLAIN VIEW,4/1/2018 23:11
RPT2,5251,STAT,STATE VIOLATION,4/1/2018 23:11
RPT5,5251,NOT,NOTHING SEIZED,4/1/2018 23:11
RPT3,5251,*NO,*NO SEARCH,4/1/2018 23:11
RPT6,5251,CIT,CITATION,4/1/2018 23:12
RPT1,5252,VEH,VEHICLE,4/1/2018 23:49
RPT2,5252,RECK,TRAFFIC-RECKLESS/CARELESS,4/1/2018 23:50
RPT2,5252,EQUI,EQUIPMENT VIOLATION,4/1/2018 23:50
